id,name,description,disease_id
67,Chronic Alcohol Consumption,"Long-term alcohol consumption can cause alcoholic hepatitis.",23
68,Hepatitis Infection,"Hepatitis infections can exacerbate alcoholic hepatitis.",23
69,Obesity,"Obesity can worsen alcoholic hepatitis.",23
70,Close Contact with Infected Individuals,"Being in close contact with individuals with tuberculosis increases risk.",24
71,Travel to Endemic Areas,"Traveling to areas with high tuberculosis prevalence increases risk.",24
72,Inadequate Treatment,"Failure to complete TB treatment can lead to complications.",24
73,Exposure to Cold Weather,"Exposure to cold weather can increase the risk of catching a common cold.",25
74,Close Contact with Infected Individuals,"Being in close contact with those with a cold can spread the infection.",25
75,Weakened Immune System,"A weakened immune system increases susceptibility to colds.",25
76,Smoking,"Smoking can increase the risk of pneumonia.",26
77,Weak Immune System,"A weakened immune system can make one more susceptible to pneumonia.",26
78,Chronic Illness,"Chronic illnesses can increase the risk of developing pneumonia.",26
79,Straining during Bowel Movements,"Straining can contribute to hemorrhoids.",27
80,Chronic Constipation,"Persistent constipation can lead to hemorrhoids.",27
81,Prolonged Sitting,"Long periods of sitting can increase the risk of hemorrhoids.",27
82,High Cholesterol,"High cholesterol can contribute to heart attacks.",28
83,Uncontrolled Blood Pressure,"High blood pressure can increase the risk of heart attacks.",28
84,Smoking,"Smoking can increase the risk of heart attacks.",28
85,Standing for Long Periods,"Standing for extended periods can cause varicose veins.",29
86,Genetic Predisposition,"A family history of varicose veins can increase risk.",29
87,Obesity,"Obesity can contribute to the development of varicose veins.",29
88,Low Thyroid Hormone Levels,"Low levels of thyroid hormone can cause hypothyroidism.",30
89,Iodine Deficiency,"Lack of iodine can lead to hypothyroidism.",30
90,Autoimmune Disorders,"Autoimmune conditions can lead to hypothyroidism.",30
91,Excessive Thyroid Hormone,"Excessive production of thyroid hormone causes hyperthyroidism.",31
92,Graves' Disease,"Graves' disease can cause hyperthyroidism.",31
93,Excess Iodine Intake,"High iodine levels can contribute to hyperthyroidism.",31
94,Low Blood Sugar Levels,"Low blood sugar levels can cause hypoglycemia.",32
95,Insulin Overdose,"Excessive insulin use can lead to hypoglycemia.",32
96,Prolonged Fasting,"Long periods without eating can contribute to hypoglycemia.",32
97,Joint Injury,"Injury to joints can lead to osteoarthritis.",33
98,Genetic Factors,"Genetics can play a role in the development of osteoarthritis.",33
99,Overuse of Joints,"Repeated use of joints can contribute to osteoarthritis.",33
100,Genetics,"Genetic predisposition can contribute to arthritis.",34
101,Joint Injury,"Injury to joints can lead to arthritis.",34
102,Infection,"Infections can cause inflammation in the joints, leading to arthritis.",34
103,Head Trauma,"Head trauma can lead to vertigo.",35
104,Inner Ear Disorders,"Disorders of the inner ear can cause vertigo.",35
105,Changes in Head Position,"Changes in head position can trigger paroxysmal positional vertigo.",35
106,Excessive Oil Production,"Excessive oil production can contribute to acne.",36
107,Clogged Pores,"Clogged hair follicles can lead to acne.",36
108,Hormonal Changes,"Hormonal changes can increase acne outbreaks.",36
109,Frequent Urination,"Frequent urination can be a symptom of a urinary tract infection.",37
110,Painful Urination,"Pain or burning sensation during urination can indicate a UTI.",37
111,Cloudy Urine,"Cloudy or strong-smelling urine can be a sign of a UTI.",37
112,Genetic Factors,"Genetics can contribute to psoriasis.",38
113,Immune System Overactivity,"Overactivity of the immune system can cause psoriasis.",38
114,Environmental Triggers,"Environmental factors like stress and certain medications can trigger psoriasis.",38
115,Close Contact with Infected Individuals,"Impetigo can spread through close contact.",39
116,Inadequate Hygiene,"Poor hygiene can contribute to the spread of impetigo.",39
117,Open Sores,"Open sores or wounds can increase the risk of developing impetigo.",39
